WORD,COUNT,RANK
fare,2,1042
"farre,",2,1043
"feast,",2,1044
"feet,",2,1045
fell.,2,1046
file,2,1047
filthie,2,1048
findes,2,1049
finger,2,1050
firme,2,1051
firstlings,2,1052
fleance.,2,1053
"fleans,",2,1054
flight,2,1055
"flight,",2,1056
"flower,",2,1057
fly,2,1058
flye?,2,1059
fooles,2,1060
for:,2,1061
forgiue,2,1062
fortune,2,1063
"foule,",2,1064
friend,2,1065
front,2,1066
gate,2,1067
gaue,2,1068
gayne,2,1069
ghost.,2,1070
"giuen,",2,1071
glamis,2,1072
"glamis,",2,1073
"goe,",2,1074
"going,",2,1075
"good,",2,1076
good.,2,1077
goodnesse,2,1078
"graue,",2,1079
graues,2,1080
greatest,2,1081
greatnesse,2,1082
greet,2,1083
greeue,2,1084
griefe,2,1085
"grow,",2,1086
"had,",2,1087
haire,2,1088
hand?,2,1089
hands:,2,1090
hang'd,2,1091
happy,2,1092
harme,2,1093
hart,2,1094
"hart,",2,1095
has,2,1096
hate,2,1097
"haue,",2,1098
hauing,2,1099
he's,2,1100
"he,",2,1101
head,2,1102
head.,2,1103
hearing,2,1104
hearts,2,1105
heath,2,1106
heauen:,2,1107
heauens,2,1108
"heauens,",2,1109
hec.,2,1110
"hecat,",2,1111
heccats,2,1112
"heeles,",2,1113
heere:,2,1114
hell.,2,1115
"hence,",2,1116
hence.,2,1117
her:,2,1118
"hereafter,",2,1119
"highly,",2,1120
hill,2,1121
him),2,1122
hither,2,1123
"hither,",2,1124
hoa,2,1125
home,2,1126
hope.,2,1127
"horses,",2,1128
hostesse,2,1129
houres,2,1130
house:,2,1131
house?,2,1132
humane,2,1133
if't,2,1134
ignorant,2,1135
imperiall,2,1136
infected,2,1137
ingredience,2,1138
instruments:,2,1139
ioyfull,2,1140
"ireland,",2,1141
"issue,",2,1142
it:,2,1143
it;,2,1144
iudgement,2,1145
iust,2,1146
iustice,2,1147
keene,2,1148
kernes,2,1149
kingdomes,2,1150
kings,2,1151
kisse,2,1152
"knell,",2,1153
knife,2,1154
know.,2,1155
lady,2,1156
"land,",2,1157
large,2,1158
"leafe,",2,1159
leaues,2,1160
led,2,1161
lesser,2,1162
leysure,2,1163
"liege,",2,1164
life's,2,1165
life.,2,1166
light?,2,1167
line,2,1168
lips:,2,1169
"liue,",2,1170
liues:,2,1171
long,2,1172
"looke,",2,1173
loose,2,1174
lord?,2,1175
"lords,",2,1176
loue.,2,1177
loue;,2,1178
"loyall,",2,1179
macbeth:,2,1180
macduff,2,1181
macduff.,2,1182
mad,2,1183
"madame,",2,1184
maine,2,1185
"malcolm,",2,1186
march,2,1187
marching.,2,1188
marke,2,1189
"may,",2,1190
meanes,2,1191
mee,2,1192
mens,2,1193
"menteth,",2,1194
mercifull,2,1195
mess.,2,1196
message,2,1197
messenger,2,1198
mindes,2,1199
mine:,2,1200
mingle,2,1201
minister,2,1202
minute,2,1203
"mirth,",2,1204
mock,2,1205
moone,2,1206
more.,2,1207
"mother,",2,1208
mother?,2,1209
moue,2,1210
moues,2,1211
"mouncht,",2,1212
naked,2,1213
name?,2,1214
naturall,2,1215
ne're,2,1216
newes,2,1217
neyther,2,1218
"night-gowne,",2,1219
"nights,",2,1220
nine,2,1221
noise,2,1222
none.,2,1223
none:,2,1224
noyse?,2,1225
off:,2,1226
offer,2,1227
office,2,1228
on't,2,1229
"once,",2,1230
one:,2,1231
onely:,2,1232
ones,2,1233
open,2,1234
order,2,1235
others,2,1236
out:,2,1237
"owe,",2,1238
owne.,2,1239
paid,2,1240
"paines,",2,1241
painted,2,1242
pallace,2,1243
part,2,1244
"part,",2,1245
partner,2,1246
patience,2,1247
peace,2,1248
peace:,2,1249
people,2,1250
"people,",2,1251
perfect,2,1252
perfect;,2,1253
person,2,1254
pious,2,1255
pittifull,2,1256
plac'd,2,1257
"place,",2,1258
place?,2,1259
plant,2,1260
"pleasure,",2,1261
pleasure?,2,1262
"point,",2,1263
poure,2,1264
"prayers,",2,1265
prayses,2,1266
precious,2,1267
preparation,2,1268
presence,2,1269
pricke,2,1270
prince,2,1271
promis'd,2,1272
protest,2,1273
pull,2,1274
push,2,1275
quarry,2,1276
queene,2,1277
quickly,2,1278
rapt,2,1279
rauen,2,1280
reade,2,1281
rebellious,2,1282
"receiu'd,",2,1283
reigne,2,1284
remaines,2,1285
require,2,1286
right,2,1287
rings.,2,1288
"rise,",2,1289
roote,2,1290
ross.,2,1291
round,2,1292
"round,",2,1293
rugged,2,1294
sawce,2,1295
schoole,2,1296
scorne,2,1297
scotland.,2,1298
"seat,",2,1299
see.,2,1300
seedes,2,1301
seem'd,2,1302
seize,2,1303
selfe-same,2,1304
selues,2,1305
selues:,2,1306
sences,2,1307
septima.,2,1308
serpent,2,1309
seruants,2,1310
"seruice,",2,1311
setting,2,1312
seuerall,2,1313
seyward,2,1314
seyward.,2,1315
seywards,2,1316
"shadow,",2,1317
shee,2,1318
shew'd,2,1319
shift,2,1320
shine,2,1321
sickly,2,1322
sightlesse,2,1323
"sights,",2,1324
sing,2,1325
sinkes,2,1326
sinne,2,1327
sir:,2,1328
sits,2,1329
slaine,2,1330
slaine.,2,1331
"sleep,",2,1332
sleepie,2,1333
"slow,",2,1334
"snake,",2,1335
so.,2,1336
soldiers,2,1337
soldiers.,2,1338
sometime,2,1339
song.,2,1340
"sonnes,",2,1341
sooner,2,1342
"sooth,",2,1343
sore,2,1344
sorry,2,1345
soueraigne,2,1346
souldier,2,1347
"souldier,",2,1348
souldiers,2,1349
soule,2,1350
"soule,",2,1351
speak'st,2,1352
spight,2,1353
spirit,2,1354
"spirits,",2,1355
"spring,",2,1356
start,2,1357
"start,",2,1358
station,2,1359
"steele,",2,1360
sticking,2,1361
still:,2,1362
stirre,2,1363
stones,2,1364
stood,2,1365
"stood,",2,1366
stop,2,1367
strange:,2,1368
strangely,2,1369
strangers,2,1370
strength,2,1371
stroakes,2,1372
strongly,2,1373
"suffer,",2,1374
supper,2,1375
sure,2,1376
"sure,",2,1377
swearers,2,1378
"sword,",2,1379
swords,2,1380
syllable,2,1381
t',2,1382
tale,2,1383
teach,2,1384
teares,2,1385
tender,2,1386
thane?,2,1387
thanks,2,1388
"thanks,",2,1389
"that,",2,1390
that?,2,1391
the[m],2,1392
them?,2,1393
"thence,",2,1394
thing:,2,1395
"thinke,",2,1396
"thoughts,",2,1397
thunder,2,1398
"thus,",2,1399
time:,2,1400
timely,2,1401
together,2,1402
"together,",2,1403
"tongues,",2,1404
too't,2,1405
too.,2,1406
too?,2,1407
tooke,2,1408
top,2,1409
torch.,2,1410
torches.,2,1411
toyle,2,1412
tragedie,2,1413
"traitor,",2,1414
traitors,2,1415
treason,2,1416
trees,2,1417
trouble,2,1418
troubled,2,1419
"true,",2,1420
truly,2,1421
trust,2,1422
trusted,2,1423
valour,2,1424
"valour,",2,1425
vanish.,2,1426
"vantage,",2,1427
venom,2,1428
vndone.,2,1429
vnfixe,2,1430
vnknowne,2,1431
vnnaturall,2,1432
vntimely,2,1433
vp:,2,1434
vpon's,2,1435
vs'd,2,1436
wait,2,1437
walke,2,1438
wants,2,1439
warre,2,1440
watch,2,1441
"way,",2,1442
way.,2,1443
wear,2,1444
wearie,2,1445
wee'le,2,1446
weepe,2,1447
weigh'd,2,1448
wel,2,1449
well.,2,1450
what?,2,1451
whither,2,1452
wicked,2,1453
wife:,2,1454
will.,2,1455
wilt,2,1456
winde.,2,1457
"wine,",2,1458
wing,2,1459
winne,2,1460
"wise,",2,1461
witnesse,2,1462
"woe,",2,1463
"wolfe,",2,1464
woman?,2,1465
women,2,1466
"women,",2,1467
word:,2,1468
"words,",2,1469
words:,2,1470
"would,",2,1471
wound,2,1472
"wounds,",2,1473
"wracke,",2,1474
wretched,2,1475
y,2,1476
"yes,",2,1477
you'l,2,1478
'boue,1,1479
'em.,1,1480
'em:,1,1481
'faith,1,1482
'ginne,1,1483
'gins,1,1484
"'tis,",1,1485
'twas,1,1486
'twer,1,1487
'twixt,1,1488
'twould,1,1489
(a,1,1490
(alas),1,1491
(and,1,1492
"(as,",1,1493
(at,1,1494
(beldams),1,1495
(from,1,1496
(how,1,1497
(i,1,1498
(if't,1,1499
(impostors,1,1500
(like,1,1501
(sharpe,1,1502
(sir),1,1503
(the,1,1504
(well,1,1505
(whereto,1,1506
(which,1,1507
(with,1,1508
(worthie,1,1509
(worthy,1,1510
1603,1,1511
a-foot.,1,1512
a-weary,1,1513
abhorred,1,1514
abiure,1,1515
aboue),1,1516
abound,1,1517
about?,1,1518
"abroad,",1,1519
abroad:,1,1520
absent,1,1521
abuse,1,1522
accents,1,1523
"accesse,",1,1524
accompany,1,1525
accompt:,1,1526
account,1,1527
accounted,1,1528
accurs'd,1,1529
"accust,",1,1530
accustom'd,1,1531
acheron,1,1532
acquaint,1,1533
"acted,",1,1534
acting,1,1535
action,1,1536
actions,1,1537
acts:,1,1538
actuall,1,1539
addage,1,1540
added,1,1541
adders,1,1542
addrest,1,1543
"adhere,",1,1544
adieu,1,1545
"adieu,",1,1546
admir'd,1,1547
aduance,1,1548
aduantage,1,1549
aduice,1,1550
"aduice,",1,1551
afeard,1,1552
affaire,1,1553
affaires,1,1554
affear'd,1,1555
affear'd.,1,1556
affear'd?,1,1557
"affection,",1,1558
affliction,1,1559
afraid,1,1560
"afraid,",1,1561
afternoone?,1,1562
afterwards,1,1563
"age,",1,1564
agent,1,1565
agents,1,1566
"agitation,",1,1567
ague,1,1568
aid,1,1569
"alack,",1,1570
alarme,1,1571
alarum'd,1,1572
alarums,1,1573
alas:,1,1574
aleppo,1,1575
alike:,1,1576
all-hail'd,1,1577
all-haile,1,1578
all-thing,1,1579
all:,1,1580
allegeance,1,1581
alone:,1,1582
alone?,1,1583
alowd,1,1584
alreadie,1,1585
also,1,1586
alter,1,1587
"altogether,",1,1588
alwayes,1,1589
"am,",1,1590
amaz'd,1,1591
"amaz'd,",1,1592
amazedly?,1,1593
amazement,1,1594
"amen,",1,1595
amen?,1,1596
amend.,1,1597
amends,1,1598
amisse?,1,1599
among,1,1600
and't,1,1601
angels,1,1602
"angels,",1,1603
anger'd,1,1604
anger:,1,1605
angerly?,1,1606
angry,1,1607
"annoyance,",1,1608
anon.,1,1609
anon:,1,1610
"another,",1,1611
anoynted,1,1612
anthonies,1,1613
anticipat'st,1,1614
antidote,1,1615
antique,1,1616
"apace,",1,1617
"apart,",1,1618
appall,1,1619
appalls,1,1620
"apparition,",1,1621
"appeare,",1,1622
"appeares,",1,1623
appease,1,1624
"appetite,",1,1625
apply,1,1626
appoint,1,1627
approach:,1,1628
"approaches,",1,1629
approch,1,1630
approches,1,1631
"approue,",1,1632
arabia,1,1633
"arbitrate,",1,1634
are.,1,1635
are?,1,1636
argument,1,1637
aright.,1,1638
arm'd,1,1639
"arm'd,",1,1640
arme,1,1641
armed,1,1642
armes,1,1643
"armes,",1,1644
armor,1,1645
armor:,1,1646
armour,1,1647
"army,",1,1648
aroynt,1,1649
arriu'd,1,1650
art:,1,1651
art?,1,1652
artificiall,1,1653
aside,1,1654
aske,1,1655
"asleepe,",1,1656
asleepe:,1,1657
"assaileable,",1,1658
assassination,1,1659
assault,1,1660
assay,1,1661
assistance,1,1662
assisted,1,1663
assurance:,1,1664
attempt,1,1665
"attempt,",1,1666
"attendants,",1,1667
"attyre,",1,1668
"auant,",1,1669
auarice,1,1670
"auarice,",1,1671
"auaricious,",1,1672
audit,1,1673
aught,1,1674
augment,1,1675
augure,1,1676
"augures,",1,1677
auoid,1,1678
auouch,1,1679
"auouches,",1,1680
auoyded,1,1681
authoriz'd,1,1682
awak'd,1,1683
"awak'd,",1,1684
away:,1,1685
ayd,1,1686
ayde,1,1687
aye,1,1688
ayme.,1,1689
ayre-drawne-dagger,1,1690
ayre.,1,1691
ayre;,1,1692
babe,1,1693
"babe,",1,1694
babes,1,1695
baboones,1,1696
baby,1,1697
"baby-brow,",1,1698
back.,1,1699
backe,1,1700
backe.,1,1701
backe;,1,1702
backs.,1,1703
